episode,timestep,reward
106,1000,-346.5976
253,3000,-39.5801
331,4000,-30.7084
414,5000,-28.5551
573,7000,-31.1422
669,8000,-26.2916
747,9000,-27.7527
833,10000,-25.152
917,11000,-25.9784
996,12000,-27.5721
1079,13000,-26.4543
1163,14000,-24.5067
1255,15000,-22.5995
1344,16000,-21.0699
1432,17000,-24.0281
1514,18000,-23.3833
1601,19000,-25.0475
1688,20000,-22.2563
1860,22000,-25.6153
1941,23000,-21.7827
2019,24000,-26.4087
2103,25000,-24.7944
2275,27000,-24.0856
2352,28000,-27.0473
2434,29000,-22.9121
2522,30000,-20.8009
2599,31000,-24.793
2678,32000,-23.8693
2763,33000,-22.9985
2837,34000,-25.9651
2915,35000,-25.2775
2995,36000,-23.9185
3079,37000,-22.5828
3154,38000,-25.2162
3222,39000,-28.7865
3549,43000,-22.6655
3627,44000,-24.7673
3703,45000,-22.7312
3777,46000,-24.5082
3852,47000,-21.453
3935,48000,-22.6251
4015,49000,-20.8835
4088,50000,-24.0389
4164,51000,-21.7834
4240,52000,-22.2601
4317,53000,-20.2227
4397,54000,-24.563
4477,55000,-20.1722
4556,56000,-20.1156
4635,57000,-21.0623
4708,58000,-21.6246
4781,59000,-20.8624
4859,60000,-21.8595
4935,61000,-22.1936
5008,62000,-24.0763
5092,63000,-19.8459
5162,64000,-20.8048
5242,65000,-20.5298
5320,66000,-20.782
5396,67000,-19.2971
5470,68000,-20.6648
5545,69000,-21.5364
5620,70000,-21.148
5698,71000,-20.7079
5775,72000,-20.6557
5854,73000,-19.7159
5927,74000,-23.345
6005,75000,-18.0147
6083,76000,-21.2503
6160,77000,-19.2189
6233,78000,-23.0067
6308,79000,-20.8656
6393,80000,-18.2075
6465,81000,-22.0846
6545,82000,-18.8957
6629,83000,-17.3174
6697,84000,-23.4408
6762,85000,-25.2458
6832,86000,-24.0323
6905,87000,-20.4559
6974,88000,-20.7809
7052,89000,-20.1592
7133,90000,-20.2316
7217,91000,-16.2735
7283,92000,-24.5598
7358,93000,-19.1505
7435,94000,-20.1654
7501,95000,-24.3305
7575,96000,-19.5875
7641,97000,-22.5848
7710,98000,-21.0445
7788,99000,-18.4246
7857,100000,-21.1768
8014,102000,-19.1975
8081,103000,-23.2255
8165,104000,-17.2317
8236,105000,-21.7609
8307,106000,-21.9043
8377,107000,-20.1626
8445,108000,-21.9382
8524,109000,-18.9455
8593,110000,-23.6417
8672,111000,-18.8007
8739,112000,-22.0031
8810,113000,-20.4019
8953,115000,-19.6683
9028,116000,-21.2701
9100,117000,-20.1482
9177,118000,-19.3578
9410,121000,-19.5019
9556,123000,-20.7352
9628,124000,-22.3447
9691,125000,-25.0421
9758,126000,-22.2256
9822,127000,-20.7559
9890,128000,-20.5116
9965,129000,-18.0483
10035,130000,-20.4175
10116,131000,-18.6805
10187,132000,-21.0015
10261,133000,-17.9998
10334,134000,-19.0696
10405,135000,-22.0195
10485,136000,-17.023
10638,138000,-19.7467
10778,140000,-20.1468
10853,141000,-18.6115
10925,142000,-21.5828
10997,143000,-20.412
11151,145000,-18.6891
11221,146000,-19.2574
11298,147000,-21.1227
11366,148000,-19.5885
11435,149000,-18.1069
11518,150000,-16.8537
11598,151000,-17.9516
11667,152000,-21.8891
11820,154000,-17.8532
11890,155000,-20.4975
11956,156000,-21.7667
12022,157000,-20.9535
12093,158000,-19.9323
12168,159000,-19.1552
12248,160000,-17.5461
12325,161000,-18.341
12405,162000,-18.1882
12556,164000,-18.2091
12628,165000,-17.3989
12703,166000,-18.395
12772,167000,-19.1662
12843,168000,-21.9615
12918,169000,-18.5696
12983,170000,-22.7549
13064,171000,-17.776
13139,172000,-22.2111
13208,173000,-21.2437
13280,174000,-20.5027
13352,175000,-19.9411
13423,176000,-20.1093
13493,177000,-21.2731
13563,178000,-19.6807
13712,180000,-19.8833
13846,182000,-21.6769
13922,183000,-19.844
13990,184000,-20.8651
14060,185000,-19.0668
14130,186000,-20.5992
14201,187000,-20.2888
14276,188000,-20.7785
14343,189000,-23.984
14414,190000,-20.2229
14485,191000,-19.6242
14557,192000,-17.8015
14631,193000,-21.5574
14704,194000,-19.8047
14780,195000,-17.7037
14848,196000,-22.5235
14923,197000,-19.6241
14989,198000,-19.0261
15129,200000,-20.5547
15210,201000,-17.3611
15290,202000,-18.4695
15360,203000,-20.6873
15423,204000,-22.9409
15495,205000,-19.849
15575,206000,-18.0616
15709,208000,-21.2002
15781,209000,-19.0888
15850,210000,-18.8064
15924,211000,-19.4192
15988,212000,-21.7692
16059,213000,-20.0661
16130,214000,-18.4687
16198,215000,-20.4072
16268,216000,-19.0986
16344,217000,-17.7272
16416,218000,-19.9314
16491,219000,-17.8442
16567,220000,-19.0266
16642,221000,-18.544
16718,222000,-17.6393
16796,223000,-18.0481
